No,NO_FE_MSE,HMF_MSE,MI_MSE,FR_MSE,COST_MSE,,NO_FE_R2,HMF_R2,MI_R2,FR_R2,COST_R2
4,3.02E-12,1.47E-12,4.53E-12,2.53E-12,1.02E-12,,0.748243388,0.87756945,0.622576762,0.789394127,0.914871297
5,1.60E-12,1.51E-12,1.01E-12,2.52E-12,1.25E-12,,0.866872884,0.873865387,0.916160444,0.789953008,0.895579019
6,1.50E-12,1.06E-12,1.08E-12,1.53E-12,1.48E-12,,0.874927033,0.911843601,0.910410516,0.872521649,0.876407254
7,1.57E-12,1.07E-12,9.98E-13,1.55E-12,1.47E-12,,0.868910644,0.910497775,0.916879916,0.870735902,0.877152188
8,1.67E-12,1.07E-12,1.04E-12,1.52E-12,1.62E-12,,0.8604993,0.910615427,0.913566127,0.873488143,0.865050137
9,1.54E-12,1.10E-12,1.04E-12,1.54E-12,1.68E-12,,0.871426898,0.908238038,0.913483825,0.871465826,0.85997748
10,1.54E-12,1.12E-12,1.04E-12,1.55E-12,1.66E-12,,0.871649213,0.906534892,0.913414032,0.870925422,0.861735902
11,1.55E-12,1.11E-12,1.04E-12,1.51E-12,1.67E-12,,0.871158777,0.90735596,0.91376255,0.873926056,0.860946098
12,1.47E-12,1.10E-12,1.05E-12,1.51E-12,1.68E-12,,0.877944287,0.90872275,0.912208968,0.874113795,0.859770204
13,1.51E-12,1.09E-12,1.05E-12,1.46E-12,1.64E-12,,0.874501677,0.908855618,0.91293634,0.878458974,0.863477072
14,1.32E-12,1.09E-12,1.06E-12,1.54E-12,1.66E-12,,0.889691767,0.909076315,0.911651952,0.871606188,0.861785087
15,1.31E-12,1.08E-12,1.17E-12,1.64E-12,1.57E-12,,0.890814239,0.909754011,0.902536859,0.863624423,0.869439058
16,1.31E-12,1.08E-12,1.27E-12,1.60E-12,1.51E-12,,0.891127541,0.910094838,0.894590721,0.866821442,0.874251772
17,1.26E-12,1.07E-12,1.47E-12,1.61E-12,1.58E-12,,0.895204869,0.910760723,0.877475103,0.865603358,0.868540554
